ubigeo,distrito,provincia,departamento,n_active,n_emergency,area_km2,dist_km_nearest_emergency,dist_km_nearest_any,fac_score,activity_score,emerg_atenciones,access_score,pct_ccpp_within_15km_any,composite_score,tier
120502,CARHUAMAYO,JUNÍN,JUNÍN,1,0,204.56,27.149,4.858,20.26106696935301,44.5800227014756,0.0,60.130533484676505,100.0,46.275539160045405,Weakly served
120503,ONDORES,JUNÍN,JUNÍN,3,0,289.46,21.388,3.596,38.64926220204313,44.5800227014756,0.0,60.130533484676505,100.0,50.872587968217935,Weakly served
120504,ULCUMAYO,JUNÍN,JUNÍN,15,0,1132.11,42.219,10.828,46.3677639046538,44.5800227014756,0.0,60.130533484676505,100.0,52.8022133938706,Weakly served
120601,SATIPO,SATIPO,JUNÍN,20,1,815.09,8.239,6.052,65.60726447219069,94.83541430192962,25956.0,60.130533484676505,100.0,70.17593643586832,Best served
120602,COVIRIALI,SATIPO,JUNÍN,6,0,97.54,7.669,1.515,85.92508513053349,44.5800227014756,0.0,60.130533484676505,100.0,62.691543700340524,Best served
120603,LLAYLLA,SATIPO,JUNÍN,3,0,308.18,17.688,8.677,36.83314415437003,44.5800227014756,0.0,60.130533484676505,100.0,50.418558456299664,Weakly served
120605,PAMPA HERMOSA,SATIPO,JUNÍN,6,0,950.0,28.683,9.855,25.368898978433595,44.5800227014756,0.0,60.130533484676505,100.0,47.55249716231555,Weakly served
120606,PANGOA,SATIPO,JUNÍN,42,1,6278.8,38.996,7.796,26.4472190692395,92.96254256526673,11360.0,16.288308740068107,96.63,37.99659477866061,Underserved
120607,RIO NEGRO,SATIPO,JUNÍN,16,0,488.13,17.138,1.479,74.12031782065834,44.5800227014756,0.0,60.130533484676505,100.0,59.74035187287174,Moderately served
120608,RIO TAMBO,SATIPO,JUNÍN,24,0,10210.37,74.62,27.224,9.591373439273552,44.5800227014756,0.0,14.16004540295119,94.66,20.622871736662884,Underserved
120701,TARMA,TARMA,JUNÍN,19,1,445.3,7.964,1.784,80.13620885357548,93.0760499432463,11638.0,60.130533484676505,100.0,73.3683314415437,Best served
120702,ACOBAMBA,TARMA,JUNÍN,6,0,107.18,9.262,0.919,84.7900113507378,44.5800227014756,0.0,60.130533484676505,100.0,62.4077752553916,Best served
120703,HUARICOLCA,TARMA,JUNÍN,3,0,164.65,13.847,3.987,56.29965947786606,44.5800227014756,0.0,60.130533484676505,100.0,55.28518728717367,Moderately served
120704,HUASAHUASI,TARMA,JUNÍN,7,0,636.91,32.02,2.935,40.29511918274688,44.5800227014756,0.0,18.55845629965948,98.59,30.49801362088536,Underserved
120705,LA UNION,TARMA,JUNÍN,5,0,151.47,15.858,3.741,74.40408626560726,44.5800227014756,0.0,60.130533484676505,100.0,59.81129398410897,Moderately served
120706,PALCA,TARMA,JUNÍN,8,0,270.33,23.68,4.599,71.7366628830874,44.5800227014756,0.0,60.130533484676505,100.0,59.144438138479,Moderately served
120707,PALCAMAYO,TARMA,JUNÍN,7,0,167.78,19.49,2.637,79.79568671963678,44.5800227014756,0.0,60.130533484676505,100.0,61.15919409761635,Best served
120708,SAN PEDRO DE CAJAS,TARMA,JUNÍN,7,0,512.02,23.536,7.995,47.332576617480136,44.5800227014756,0.0,60.130533484676505,100.0,53.043416572077184,Weakly served
120709,TAPOI,TARMA,JUNÍN,6,0,214.95,17.919,0.629,69.80703745743473,44.5800227014756,0.0,60.130533484676505,100.0,58.66203178206584,Moderately served
120801,LA OROYA,YAULI,JUNÍN,8,0,379.89,26.781,10.681,61.123723041997735,44.5800227014756,0.0,60.130533484676505,100.0,56.49120317820659,Moderately served
120802,CHACAPALPA,YAULI,JUNÍN,1,0,186.02,35.821,7.15,21.45289443813848,44.5800227014756,0.0,60.130533484676505,100.0,46.573496027241774,Weakly served
120803,HUAY-HUAY,YAULI,JUNÍN,2,0,193.05,43.901,6.904,38.53575482406356,44.5800227014756,0.0,60.130533484676505,100.0,50.84421112372304,Weakly served
120804,MARCAPOMACOCHA,YAULI,JUNÍN,3,0,883.33,39.303,8.833,14.585698070374576,44.5800227014756,0.0,9.761634506242906,88.59,19.672247446083997,Underserved
120805,MOROCOCHA,YAULI,JUNÍN,7,0,264.8,43.405,7.088,68.44494892167991,44.5800227014756,0.0,60.130533484676505,100.0,58.32150964812713,Moderately served
120806,PACCHA,YAULI,JUNÍN,1,0,322.71,31.161,5.159,13.166855845629966,44.5800227014756,0.0,60.130533484676505,100.0,44.50198637911464,Underserved
120807,SANTA BARBARA DE CARHUACAYA,YAULI,JUNÍN,2,0,680.32,40.267,8.616,12.599318955732123,44.5800227014756,0.0,17.480136208853576,97.87,23.03490351872872,Underserved
120808,SANTA ROSA DE SACCO,YAULI,JUNÍN,4,0,100.29,35.24,3.918,78.77412031782066,92.11123723041997,7775.0,60.130533484676505,100.0,72.78660612939841,Best served
120809,SUITUCANCHA,YAULI,JUNÍN,1,0,215.34,43.996,6.576,19.46651532349603,44.5800227014756,0.0,60.130533484676505,100.0,46.07690124858116,Weakly served
120810,YAULI,YAULI,JUNÍN,5,0,410.6,34.26,4.735,43.81384790011351,44.5800227014756,0.0,14.443813847900113,94.79,29.320374574347333,Underserved
120901,CHUPACA,CHUPACA,JUNÍN,4,0,20.59,6.57,0.793,94.5516458569807,44.5800227014756,0.0,60.130533484676505,100.0,64.84818388195232,Best served
120902,AHUAC,CHUPACA,JUNÍN,2,0,72.03,13.763,3.304,69.52326901248581,44.5800227014756,0.0,60.130533484676505,100.0,58.59108967082861,Moderately served
120903,CHONGOS BAJO,CHUPACA,JUNÍN,2,0,96.29,15.106,4.92,60.61293984108968,44.5800227014756,0.0,60.130533484676505,100.0,56.36350737797957,Moderately served
120904,HUACHAC,CHUPACA,JUNÍN,4,0,23.85,12.549,0.461,93.98410896708286,44.5800227014756,0.0,60.130533484676505,100.0,64.70629965947786,Best served
120905,HUAMANCACA CHICO,CHUPACA,JUNÍN,2,0,11.0,3.045,0.631,94.26787741203178,44.5800227014756,0.0,60.130533484676505,100.0,64.7772417707151,Best served
120906,SAN JUAN DE ISCOS,CHUPACA,JUNÍN,3,0,26.29,10.1,0.827,91.48694665153235,44.5800227014756,0.0,60.130533484676505,100.0,64.08200908059024,Best served
120907,SAN JUAN DE JARPA,CHUPACA,JUNÍN,2,0,135.97,25.435,1.839,49.94324631101021,44.5800227014756,0.0,60.130533484676505,100.0,53.6960839954597,Moderately served
120908,TRES DE DICIEMBRE,CHUPACA,JUNÍN,1,0,11.76,5.246,1.026,89.72758229284904,44.5800227014756,0.0,60.130533484676505,100.0,63.64216799091941,Best served
120909,YANACANCHA,CHUPACA,JUNÍN,2,0,756.98,33.941,3.893,10.953461975028377,44.5800227014756,0.0,14.16004540295119,94.66,20.96339387060159,Underserved
130101,TRUJILLO,TRUJILLO,LA LIBERTAD,266,19,38.38,0.556,0.516,98.35414301929626,99.09194097616346,250881.0,60.130533484676505,100.0,79.42678774120319,Best served
130102,EL PORVENIR,TRUJILLO,LA LIBERTAD,22,2,38.53,2.844,1.881,96.3677639046538,92.90578887627696,11288.0,60.130533484676505,100.0,77.38365493757094,Best served
130103,FLORENCIA DE MORA,TRUJILLO,LA LIBERTAD,7,2,2.52,0.747,0.255,97.61634506242906,93.64358683314416,16665.0,60.130533484676505,100.0,77.88024971623156,Best served
130104,HUANCHACO,TRUJILLO,LA LIBERTAD,10,0,317.5,7.577,1.569,73.2122587968218,44.5800227014756,0.0,60.130533484676505,100.0,59.5133371169126,Moderately served
130105,LA ESPERANZA,TRUJILLO,LA LIBERTAD,26,3,21.21,0.677,0.677,97.16231555051078,95.17593643586834,28119.0,60.130533484676505,100.0,78.14982973893304,Best served
130106,LAREDO,TRUJILLO,LA LIBERTAD,4,1,493.91,11.449,6.357,31.271282633371168,92.33825198637912,8692.0,60.130533484676505,100.0,60.967650397275825,Best served
130107,MOCHE,TRUJILLO,LA LIBERTAD,8,2,28.3,1.58,1.529,95.57321225879683,91.37343927355278,5447.0,60.130533484676505,100.0,76.80192962542566,Best served
130108,POROTO,TRUJILLO,LA LIBERTAD,1,0,150.74,23.102,3.062,26.16345062429058,44.5800227014756,0.0,60.130533484676505,100.0,47.75113507377979,Weakly served
130109,SALAVERRY,TRUJILLO,LA LIBERTAD,3,0,289.43,12.551,9.301,38.70601589103292,44.5800227014756,0.0,60.130533484676505,100.0,50.886776390465386,Weakly served
130110,SIMBAL,TRUJILLO,LA LIBERTAD,1,0,389.87,23.458,6.488,10.61293984108967,44.5800227014756,0.0,60.130533484676505,100.0,43.86350737797957,Underserved
130111,VICTOR LARCO HERRERA,TRUJILLO,LA LIBERTAD,24,2,11.89,0.323,0.323,97.38933030646993,95.51645856980704,33613.0,60.130533484676505,100.0,78.2917139614075,Best served
130201,ASCOPE,ASCOPE,LA LIBERTAD,2,1,298.95,6.28,6.28,26.50397275822928,89.61407491486946,2153.0,60.130533484676505,100.0,59.09477866061294,Moderately served
130202,CHICAMA,ASCOPE,LA LIBERTAD,5,0,900.34,14.385,7.46,22.587968217934165,44.5800227014756,0.0,60.130533484676505,100.0,46.85726447219069,Weakly served
130203,CHOCOPE,ASCOPE,LA LIBERTAD,5,1,99.53,0.532,0.323,83.20090805902383,96.65153234960272,59541.0,60.130533484676505,100.0,75.02837684449489,Best served
130204,MAGDALENA DE CAO,ASCOPE,LA LIBERTAD,1,0,161.17,11.029,2.541,25.08513053348468,44.5800227014756,0.0,60.130533484676505,100.0,47.481555051078324,Weakly served
130205,PAIJAN,ASCOPE,LA LIBERTAD,3,0,82.47,11.341,0.884,76.41884222474461,44.5800227014756,0.0,60.130533484676505,100.0,60.31498297389331,Moderately served
130206,RAZURI,ASCOPE,LA LIBERTAD,2,0,312.09,20.262,3.663,25.48240635641317,44.5800227014756,0.0,60.130533484676505,100.0,47.58087400681045,Weakly served
130207,SANTIAGO DE CAO,ASCOPE,LA LIBERTAD,4,0,136.62,14.633,4.504,71.56640181611806,44.5800227014756,0.0,60.130533484676505,100.0,59.10187287173667,Moderately served
130208,CASA GRANDE,ASCOPE,LA LIBERTAD,4,1,662.03,18.433,10.205,24.290578887627696,44.5800227014756,0.0,60.130533484676505,100.0,47.28291713961408,Weakly served
130301,BOLIVAR,BOLÍVAR,LA LIBERTAD,2,1,737.08,12.885,12.885,11.350737797956867,89.27355278093077,375.0,19.49489216799092,99.18,34.90351872871737,Underserved
130302,BAMBAMARCA,BOLÍVAR,LA LIBERTAD,2,0,164.5,34.694,2.715,43.75709421112372,44.5800227014756,0.0,60.130533484676505,100.0,52.149545970488084,Weakly served
130303,CONDORMARCA,BOLÍVAR,LA LIBERTAD,1,0,323.86,46.912,1.625,13.053348467650396,44.5800227014756,0.0,60.130533484676505,100.0,44.473609534619754,Underserved
130304,LONGOTEA,BOLÍVAR,LA LIBERTAD,2,0,189.2,24.935,4.393,39.27355278093076,44.5800227014756,0.0,60.130533484676505,100.0,51.028660612939845,Weakly served
130305,UCHUMARCA,BOLÍVAR,LA LIBERTAD,1,0,221.32,17.769,2.193,19.069239500567537,44.5800227014756,0.0,60.130533484676505,100.0,45.977582292849036,Weakly served
130306,UCUNCHA,BOLÍVAR,LA LIBERTAD,1,0,100.36,16.02,1.568,37.40068104426788,44.5800227014756,0.0,60.130533484676505,100.0,50.56044267877412,Weakly served
130401,CHEPEN,CHEPEN,LA LIBERTAD,5,2,289.9,9.046,6.866,54.37003405221339,95.80022701475596,39948.0,60.130533484676505,100.0,67.6078320090806,Best served
130402,PACANGA,CHEPEN,LA LIBERTAD,2,0,591.16,15.836,8.143,14.415437003405222,44.5800227014756,0.0,60.130533484676505,100.0,44.81413166855846,Underserved
130403,PUEBLO NUEVO,CHEPEN,LA LIBERTAD,3,0,271.77,13.539,5.068,40.5788876276958,44.5800227014756,0.0,60.130533484676505,100.0,51.3549943246311,Weakly served
130501,JULCAN,JULCAN,LA LIBERTAD,7,1,228.33,4.396,3.275,72.53121452894437,89.5005675368899,1655.0,60.130533484676505,100.0,70.57321225879681,Best served
130502,CALAMARCA,JULCAN,LA LIBERTAD,5,0,209.37,14.369,1.358,64.472190692395,44.5800227014756,0.0,60.130533484676505,100.0,57.3283200908059,Moderately served
130503,CARABAMBA,JULCAN,LA LIBERTAD,3,0,234.97,15.785,4.585,45.40295119182747,44.5800227014756,0.0,60.130533484676505,100.0,52.56101021566402,Weakly served
130504,HUASO,JULCAN,LA LIBERTAD,7,0,439.75,24.786,1.69,52.04313280363224,44.5800227014756,0.0,60.130533484676505,100.0,54.22105561861521,Moderately served
130601,OTUZCO,OTUZCO,LA LIBERTAD,10,1,403.01,6.54,3.174,66.11804767309876,90.80590238365494,3890.0,60.130533484676505,100.0,69.29625425652668,Best served
130602,AGALLPAMPA,OTUZCO,LA LIBERTAD,10,0,258.89,10.941,2.259,78.09307604994325,44.5800227014756,0.0,60.130533484676505,100.0,60.733541430192965,Best served
130604,CHARAT,OTUZCO,LA LIBERTAD,4,0,65.96,14.701,3.292,85.75482406356413,44.5800227014756,0.0,60.130533484676505,100.0,62.64897843359819,Best served
130605,HUARANCHAL,OTUZCO,LA LIBERTAD,2,0,135.57,26.878,0.883,50.0,44.5800227014756,0.0,60.130533484676505,100.0,53.71027241770715,Moderately served
130606,LA CUESTA,OTUZCO,LA LIBERTAD,1,0,41.55,13.247,2.509,64.81271282633371,44.5800227014756,0.0,60.130533484676505,100.0,57.413450624290576,Moderately served
